show_id,type,title,director,cast,country,date_added,release_year,rating,duration
s0001,Movie,Could development,Carrie Williams,"David Kelly, Christopher Harris",France,"February 19, 2024",2014,TV-14,93 min
s0002,TV Show,Guess old,Zachary Pollard,"Bryan Warren, Jeremy Rivera, Ashley Smith",Germany,"December 25, 2024",2015,TV-14,1 Seasons
s0003,TV Show,There send,Adrian Morales,"Kathy Bright, Jordan Webb, Christopher Maynard",India,"December 04, 2023",2010,G,5 Seasons
s0004,Movie,Citizen way job,Billy Graham,"Kristina Daugherty, Brian Munoz",United Kingdom,"September 24, 2021",2001,TV-PG,108 min
s0005,TV Show,Policy still prevent,Melissa Jenkins,"Miguel Miller, John Williams, Gavin Ramirez, Anna Clark",South Korea,"December 30, 2020",2000,R,6 Seasons
s0006,TV Show,Control floor,Mr. Blake Perry,"Michael Cochran, Andre Jenkins, Mary Williams, Alan Medina",United States,"November 15, 2021",2002,PG-13,8 Seasons
s0007,Movie,Score age,Joshua Bender,"Kylie Wilson, Belinda Nguyen",India,"January 19, 2021",2023,PG,104 min
s0008,Movie,Movie approach throughout vote,Kara Shaffer,"Monica Lewis, Steve Stephenson, Mr. Mark King Jr.",India,"January 31, 2025",2021,TV-MA,151 min
s0009,TV Show,Will determine whatever,Anthony Reyes,"Heather Rhodes, Jordan Perez, Nathan Murray, Brian Lewis",Germany,"September 05, 2023",2008,R,5 Seasons
s0010,TV Show,Look born,Michael Thomas,"Frank King, Jeremy Harris",South Korea,"November 24, 2024",2013,PG-13,8 Seasons
s0011,TV Show,Particular father,Heather Walker,"John Rivera, Christopher Banks, Carolyn Jones, Laura Lyons",Canada,"July 16, 2023",2011,R,4 Seasons
s0012,TV Show,Focus when,Miss Michele Perez MD,"Michael Conway, Karen Hernandez",South Korea,"January 22, 2024",2018,PG-13,6 Seasons
s0013,Movie,Network sure claim,Debra Holt,"Julia Walters, Lori Thomas",Canada,"August 06, 2022",2008,R,172 min
s0014,TV Show,Floor none pretty plant,Shirley Smith,"Nicole Oliver, Sarah Valdez, Michael Jordan",United States,"May 26, 2025",2016,TV-PG,7 Seasons
s0015,Movie,Speak region,Mary Mccoy,"Tammy Scott, Jose Jordan DDS, Tiffany Dougherty, Janice Faulkner",France,"November 23, 2024",2007,TV-PG,107 min
s0016,TV Show,Central matter general,Monica Long,"Mary Sandoval, Sarah Roberts, Paul Johnson, Joan Thomas",United Kingdom,"February 25, 2023",2020,R,6 Seasons
s0017,Movie,List wish,Wendy Pitts,"Tyrone Wolf, Maria Solis, Kristen Robertson",France,"September 28, 2024",2017,TV-MA,104 min
s0018,TV Show,Firm,Nicholas Stewart,"Ryan Parker, Geoffrey Shaw, Heather Dixon, Joseph Gross",France,"February 21, 2023",2013,R,4 Seasons
s0019,Movie,Food pattern,Sherry Reynolds,"Michael Mccoy, Amy Ford, Julia Walsh",United Kingdom,"January 30, 2025",2018,PG-13,115 min
s0020,TV Show,Fire event,Richard Roberts,"Dorothy Lewis, Jacob Mack, Robin Larson",France,"February 07, 2021",2003,TV-MA,8 Seasons
s0021,TV Show,Camera enter hit,Dr. Christopher Diaz DVM,"Lauren Jordan, Donna Mcguire, Justin Wilson",Canada,"January 26, 2022",2007,TV-G,8 Seasons
s0022,Movie,Nothing subject society,Jorge Hodges,"Mary Hale MD, Natasha Kaiser, Abigail Marshall",United States,"July 06, 2021",2014,PG-13,134 min
